EventId,Date,Time,Home,Away,Status,HomeScore,AwayScore
1528932,01/05/2026,22:00,Leeds United,Burnley,NS,,
1529153,02/05/2026,14:30,Aston Villa,Tottenham Hotspur,NS,,
1529159,02/05/2026,17:00,AFC Bournemouth,Crystal Palace,NS,,
1529156,02/05/2026,17:00,Brentford,West Ham United,NS,,
1529163,02/05/2026,17:00,Newcastle United,Brighton,NS,,
1529133,02/05/2026,17:00,Wolves,Sunderland,NS,,
1529148,02/05/2026,19:30,Arsenal,Fulham,NS,,
1529139,03/05/2026,17:30,Manchester United,Liverpool,NS,,
1529150,04/05/2026,17:00,Chelsea,Nottingham Forest,NS,,
1529155,04/05/2026,22:00,Everton,Manchester City,NS,,
1529170,09/05/2026,14:30,Liverpool,Chelsea,NS,,
1529158,09/05/2026,17:00,Brighton,Wolves,NS,,
1529187,09/05/2026,17:00,Burnley,Aston Villa,NS,,
1529183,09/05/2026,17:00,Crystal Palace,Everton,NS,,
1529165,09/05/2026,17:00,Fulham,AFC Bournemouth,NS,,
1529161,09/05/2026,17:00,Sunderland,Manchester United,NS,,
1529179,09/05/2026,19:30,Manchester City,Brentford,NS,,
1529113,10/04/2026,22:00,West Ham United,Wolves,NS,,
1529181,10/05/2026,16:00,Nottingham Forest,Newcastle United,NS,,
1529173,10/05/2026,18:30,West Ham United,Arsenal,NS,,
1529110,11/04/2026,14:30,Arsenal,AFC Bournemouth,NS,,
1529130,11/04/2026,17:00,Brentford,Everton,NS,,
1529116,11/04/2026,17:00,Burnley,Brighton,NS,,
1529126,11/04/2026,19:30,Liverpool,Fulham,NS,,
1529180,11/05/2026,22:00,Tottenham Hotspur,Leeds United,NS,,
1529114,12/04/2026,16:00,Crystal Palace,Newcastle United,NS,,
1529094,12/04/2026,16:00,Nottingham Forest,Aston Villa,NS,,
1529129,12/04/2026,16:00,Sunderland,Tottenham Hotspur,NS,,
1529105,12/04/2026,18:30,Chelsea,Manchester City,NS,,
1529142,13/04/2026,22:00,Manchester United,Leeds United,NS,,
1529172,17/05/2026,17:00,AFC Bournemouth,Manchester City,NS,,
1529178,17/05/2026,17:00,Arsenal,Burnley,NS,,
1529175,17/05/2026,17:00,Aston Villa,Liverpool,NS,,
1529171,17/05/2026,17:00,Brentford,Crystal Palace,NS,,
1529184,17/05/2026,17:00,Chelsea,Tottenham Hotspur,NS,,
1529162,17/05/2026,17:00,Everton,Sunderland,NS,,
1529189,17/05/2026,17:00,Leeds United,Brighton,NS,,
1529177,17/05/2026,17:00,Manchester United,Nottingham Forest,NS,,
1529192,17/05/2026,17:00,Newcastle United,West Ham United,NS,,
1529190,17/05/2026,17:00,Wolves,Fulham,NS,,
1529145,18/04/2026,14:30,Brentford,Fulham,NS,,
1529131,18/04/2026,17:00,Leeds United,Wolves,NS,,
1529108,18/04/2026,17:00,Newcastle United,AFC Bournemouth,NS,,
1529127,18/04/2026,19:30,Tottenham Hotspur,Brighton,NS,,
1529117,18/04/2026,22:00,Chelsea,Manchester United,NS,,
1529137,19/04/2026,16:00,Aston Villa,Sunderland,NS,,
1529143,19/04/2026,16:00,Everton,Liverpool,NS,,
1529141,19/04/2026,16:00,Nottingham Forest,Burnley,NS,,
1529109,19/04/2026,18:30,Manchester City,Arsenal,NS,,
1529134,20/04/2026,22:00,Crystal Palace,West Ham United,NS,,
1529138,24/04/2026,22:00,Sunderland,Nottingham Forest,NS,,
1529167,24/05/2026,18:00,Brighton,Manchester United,NS,,
1529160,24/05/2026,18:00,Burnley,Wolves,NS,,
1529164,24/05/2026,18:00,Crystal Palace,Arsenal,NS,,
1529185,24/05/2026,18:00,Fulham,Newcastle United,NS,,
1529182,24/05/2026,18:00,Liverpool,Brentford,NS,,
1529168,24/05/2026,18:00,Manchester City,Aston Villa,NS,,
1529169,24/05/2026,18:00,Nottingham Forest,AFC Bournemouth,NS,,
1529186,24/05/2026,18:00,Sunderland,Chelsea,NS,,
1529174,24/05/2026,18:00,Tottenham Hotspur,Everton,NS,,
1529176,24/05/2026,18:00,West Ham United,Leeds United,NS,,
1529124,25/04/2026,14:30,Fulham,Aston Villa,NS,,
1529149,25/04/2026,17:00,AFC Bournemouth,Leeds United,NS,,
1529157,25/04/2026,17:00,Liverpool,Crystal Palace,NS,,
1529146,25/04/2026,17:00,West Ham United,Everton,NS,,
1529166,25/04/2026,17:00,Wolves,Tottenham Hotspur,NS,,
1529152,25/04/2026,19:30,Arsenal,Newcastle United,NS,,
1529147,26/04/2026,16:00,Burnley,Manchester City,NS,,
1529151,26/04/2026,18:30,Brighton,Chelsea,NS,,
1529144,27/04/2026,22:00,Manchester United,Brentford,NS,,
